A̱o,Merluza ,Norte ,Sur,CMP total,Captura Total,Unnamed: 6
1989,298683.7,,,,,
1990,371975.9,,,,,
1991,456203.3,,,,,
1992,393208.5,,,,,
1993,452039.7,,,,,
1994,465846.7,,,,,
1995,587488.7,,,,,
1996,604804.8,,,,,
1997,587347.6,,,,,
1998,461390.3,,,,,
1999,315652.7,,,,,
2000,195171.4,,,,,
2001,257982.4,,,,,
2002,363275.4,,,,,
2003,336512.8,,,,,
2004,419825.5,,,,,
2005,365064.7,,,,,
2006,355617.6,,,,,
2007,301690.8,,,,,
2008,263322.6,,,,,
2009,280677.5,,,,,
2010,281752.1,48000.0,290000.0,338000.0,281752.1,0.8335860947
2011,287780.3,48000.0,273000.0,321000.0,287780.3,0.896511838
2012,257883.4,40000.0,273000.0,313000.0,257883.4,0.8239086262
2013,274981.8,35000.0,277000.0,312000.0,274981.8,0.8813519231
2014,262459.5,32000.0,290000.0,322000.0,262459.5,0.8150916149
2015,266274.0,30000.0,290000.0,320000.0,266274.0,0.83210625
2016,282953.7,30000.0,290000.0,320000.0,282953.7,0.8842303125
2017,282187.3,30000.0,290000.0,320000.0,282187.3,0.8818353125
2018,269610.8,35000.0,290000.0,325000.0,269610.8,0.8295716923
2019,314325.9,33000.0,280000.0,313000.0,314325.9,1.004236102
2020,272465.0,42000.0,290000.0,332000.0,272465.0,0.8206777108
2021,293028.7,42000.0,305000.0,347000.0,293028.7,0.8444631124
2022,285014.2,37000.0,298000.0,335000.0,285014.2,0.8507886567
2023,297070.8,37000.0,313000.0,350000.0,297070.8,0.8487737143
