Pais,A̱o,Capturas marinas
Argentina,1960,85160
Argentina,1961,77363
Argentina,1962,82204
Argentina,1963,110320
Argentina,1964,143588
Argentina,1965,171909
Argentina,1966,211066
Argentina,1967,195060
Argentina,1968,187052
Argentina,1969,169116
Argentina,1970,185838
Argentina,1971,201746
Argentina,1972,211418
Argentina,1973,270136
Argentina,1974,266749
Argentina,1975,199067
Argentina,1976,256206
Argentina,1977,369430
Argentina,1978,504136
Argentina,1979,549387
Argentina,1980,376864
Argentina,1981,351856
Argentina,1982,459602
Argentina,1983,401773
Argentina,1984,305494
Argentina,1985,396874
Argentina,1986,411767
Argentina,1987,450658
Argentina,1988,482611
Argentina,1989,503311
Argentina,1990,583292
Argentina,1991,704381
Argentina,1992,731212
Argentina,1993,970627
Argentina,1994,984314
Argentina,1995,1148680
Argentina,1996,1249545
Argentina,1997,1343220
Argentina,1998,1120152
Argentina,1999,1019737
Argentina,2000,857369
Argentina,2001,890768
Argentina,2002,889665
Argentina,2003,842723
Argentina,2004,877391
Argentina,2005,868369
Argentina,2006,1073755
Argentina,2007,919159
Argentina,2008,933348
Argentina,2009,776118
Argentina,2010,765245
Argentina,2011,733867
Argentina,2012,692263
Argentina,2013,824145
Argentina,2014,791140
Argentina,2015,767708
Argentina,2016,705725
Argentina,2017,779125
Argentina,2018,791636
Argentina,2019,781304
Argentina,2020,789756
Argentina,2021,798053
Argentina,2022,797894
Argentina,2023,779696
