Entity,A̱o,Acuicultura,Pesca de captura,Total
World,1960,2047815,31681220,33729035
World,1961,1955924,35321224,37277148
World,1962,2031135,38341012,40372147
World,1963,2278131,38950196,41228327
World,1964,2464211,43015256,45479467
World,1965,2664490,43450150,46114640
World,1966,2878194,47160380,50038574
World,1967,2996726,50181544,53178270
World,1968,3172722,53156170,56328892
World,1969,3353912,51202210,54556122
World,1970,3607571,56302176,59909747
World,1971,4058721,56400640,60459361
World,1972,4435236,51557936,55993172
World,1973,4605380,51234290,55839670
World,1974,5054032,54080336,59134368
World,1975,5333828,52705508,58039336
World,1976,5509795,56005890,61515685
World,1977,6501286,55505716,62007002
World,1978,6862791,57813836,64676627
World,1979,6947785,58342956,65290741
World,1980,7604596,58362136,65966732
World,1981,7986865,60554988,68541853
World,1982,8356278,62072064,70428342
World,1983,9236094,62080228,71316322
World,1984,10330986,67131480,77462466
World,1985,11476787,68831896,80308683
World,1986,12672402,73724850,86397252
World,1987,13905034,74395416,88300450
World,1988,15878679,88475450,104354129
World,1989,16933266,89101730,106034996
World,1990,17244868,85383570,102628438
World,1991,18903686,84386710,103290396
World,1992,22057054,86224320,108281374
World,1993,25526788,87535550,113062338
World,1994,28915410,93150990,122066400
World,1995,32365968,93243010,125608978
World,1996,35098900,94906696,130005596
World,1997,35591910,94313670,129905580
World,1998,37721636,86681240,124402876
World,1999,41004304,92620740,133625044
World,2000,43012664,94442190,137454854
World,2001,45557276,91686430,137243706
World,2002,48672236,92053400,140725636
World,2003,51533390,89288770,140822160
World,2004,55811024,93964660,149775684
World,2005,59155620,93595380,152751000
World,2006,62950524,91172210,154122734
World,2007,66320810,91527750,157848560
World,2008,70216710,90607010,160823720
World,2009,73845170,89999300,163844470
World,2010,77993680,88082280,166075960
World,2011,81623176,92578530,174201706
World,2012,88183650,89631030,177814680
World,2013,94952730,90869450,185822180
World,2014,99626230,91427620,191053850
World,2015,104003300,92511840,196515140
World,2016,108215380,90529210,198744590
World,2017,112236490,94392330,206628820
World,2018,115911560,97328270,213239830
World,2019,119799130,93187800,212986930
World,2020,122580056,91336070,213916126
