A̱o,Complejo pesquero,Complejo carnes (bovino),total exportaciones,Unnamed: 4
1993,709,628,13118,5.404787315
1994,727,855,15839,4.589936233
1995,917,1199,20963,4.374373897
1996,1011,982,23811,4.245936752
1997,1035,923,26431,3.915856381
1998,922,728,26434,3.487932209
1999,809,735,23309,3.470762366
2000,838,699,26341,3.181352265
2001,956,262,26543,3.601702897
2002,730,485,25651,2.845892948
2003,891,621,29939,2.976051304
2004,818,1062,34576,2.365802869
2005,814,1404,40387,2.015500037
2006,1250,1358,46546,2.685515404
2007,1108,1493,55980,1.979278314
2008,1304,1735,70019,1.862351647
2009,1129,1888,55672,2.027949418
2010,1344,1356,68174,1.971426057
2011,1481,1501,82981,1.784745906
2012,1340,1283,79982,1.67537696
2013,1515,1264,75963,1.994392007
2014,1584,1282,68404,2.315654055
2015,1466,1046,56784,2.581713159
2016,1701,1249,57909,2.937367249
2017,1980,1603,58645,3.376246909
2018,2155,2345,61782,3.488070959
2019,1863,3447,65115,2.861091914
2020,1730,3043,54884,3.152102616
2021,1990,3148,77934,2.553442657
2022,1823,3795,88446,2.061144653
2023,1777,3117,66789,2.660617766
